title, owner, type, url
course planner, dave fisher, firebase app, yt
blog, hans, firebase app, firebase.google.com
links, hans, firebase app, firebase.google.com
ESM-Pics, hans, firebase app, firebase.google.com
github google, yt guy, ionic app, c:\Users\Folio\web\frontend\javascript\frameworks\angular\Git-Google
chat app, wes doyle, ionic app, yt 
ble-test, hans, ionic app, apps.ionic.io 
places, max schwarzmueller, ionic app, yt 
image gallery, ionic app, same guy github google, yt 
expense tracker, udemy mirko nasato, ionic app, udemy.com 
